Question,,,,,
Is talkative,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Tends to find fault with others,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Does a thorough job,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is depressed, blue",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is original, comes up with new ideas ",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is reserved,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is helpful and unselfish with others,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Can be somewhat careless,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is relaxed, handles stress well.",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is curious about many different things ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is full of energy,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Starts quarrels with others ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is a reliable worker,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Can be tense,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is ingenious, a deep thinker ",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Generates a lot of enthusiasm ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Has a forgiving nature,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Tends to be disorganized,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Worries a lot,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Has an active imagination ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Tends to be quiet,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is generally trusting ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Tends to be lazy,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is emotionally stable, not easily upset",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is inventive,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Has an assertive personality,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Can be cold and aloof,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Perseveres until the task is finished,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Can be moody,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Values artistic, aesthetic experiences",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is sometimes shy, inhibited",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is considerate and kind to almost everyone ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Does things efficiently,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Remains calm in tense situations,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Prefers work that is routine,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is outgoing, sociable",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is sometimes rude to others,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Makes plans and follows through with them ,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Gets nervous easily,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Likes to reflect, play with ideas",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Has few artistic interests,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Likes to cooperate with others,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
Is easily distracted,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly
"Is sophisticated in art, music, or literature ",Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly